Результаты анализа:

1. Пары <Персонаж>:<Локация>
Персонаж : Локация	Частота
элизабет : эдем	93
элизабет : старый мореход	93
элизабет : африка	93
элизабет : северный полюс	93
элизабет : рейс	93
элизабет : неаполь	93
элизабет : гроб господняя	93
элизабет : тонон	93
элизабет : юры	93
элизабет : мексика	93
элизабет : перу	93
элизабет : уильям	93
элизабет : корнелия агриппа	93
элизабет : восток	93
элизабет : рим	93
элизабет : лозанна	93
элизабет : сешерон	93
элизабет : савойские альпы	93
элизабет : копа	93
элизабет : моль	93
элизабет : Шэн	93
элизабет : анды	93
элизабет : арвы	93
элизабет : пелиссье	93
элизабет : Серво	93
элизабет : монтанвер	93
элизабет : ледяное море	93
элизабет : лион	93
элизабет : моны-сени	93
элизабет : турция	93
элизабет : солоно	93
элизабет : Де лэся	93
элизабет : южная америка	93
элизабет : мангейм	93
элизабет : Ури	93
элизабет : ла-валя	93
элизабет : пэ-де-вое	93
элизабет : вершина горы	93
элизабет : голландия	93
элизабет : британия	93
элизабет : темза	93
элизабет : тильбюри	93
элизабет : вулвич	93
элизабет : гринвич	93
элизабет : тауэр	93
элизабет : клервале	93
элизабет : виндзоры	93
элизабет : камберлендские озеро	93
элизабет : виндзора	93
элизабет : пентландская возвышенность	93
элизабет : кьюпары	93
элизабет : сент-эндрюс	93
элизабет : теи	93
элизабет : новое свет	93
элизабет : обогнувшие мыс	93
элизабет : жюстина	93
элизабет : гавр-де-грас	93
элизабет : лавенец	93
элизабет : монталегр	93
элизабет : дранс	93
элизабет : средиземное море	93
элизабет : чёрное море	93
элизабет : север	93
элизабет : азия средиземное море	93
эрнест : италия	91
эрнест : рейн	91
маргарет : швейцария	90
клервалящие : шотландия	90
клервалящие : оксфорд	90
кремп : париж	90
агата : шотландия	90
агата : оксфорд	90
бофора : англия	88
парацельс : англия	88
агаты : англия	88
кирвин : лондон	88
альберт великое : женева	87
вальдмана : женева	87
жюстина мориц : женева	87
мориц : женева	87
юры : женева	87
адам : женева	87
плутарх : женева	87
сатана : женева	87
мистер кирвин : женева	87
клервали : америка	84
уолтон : ингольштадт	84
клервали : германия	84
клервали : моны-салевы	84
клервали : азия	84
клервали : перт	84
клервали : матлки	84
клервали : ирландия	84
виктор : америка	81
виктор : германия	81
виктор : моны-салевы	81
виктор : азия	81
виктор : перт	81
виктор : матлки	81
виктор : ирландия	81
кремп : швейцария	81
маргарет : лондон	80
Де лэся : париж	80
эрнест : монблан	78
эрнест : ливорно	78
кирвин : италия	77
кирвин : рейн	77
франкенштейн : америка	72
франкенштейн : германия	72
франкенштейн : моны-салевы	72
франкенштейн : азия	72
франкенштейн : перт	72
франкенштейн : матлки	72
франкенштейн : ирландия	72
кремп : лондон	72
клервалящие : архангельск	72
агата : архангельск	72
анри : америка	72
уильям : америка	72
сафия : америка	72
анри : германия	72
уильям : германия	72
сафия : германия	72
клервалящие : бельривы	72
агата : бельривы	72
анри : моны-салевы	72
анри : азия	72
анри : перт	72
анри : матлки	72
анри : ирландия	72
клервалящие : шамунь	72
клервалящие : альпы	72
клервалящие : страсбург	72
клервалящие : эдинбург	72
уильям : моны-салевы	72
уильям : азия	72
уильям : перт	72
уильям : матлки	72
уильям : ирландия	72
Де лэся : швейцария	72
сафия : моны-салевы	72
агата : шамунь	72
агата : альпы	72
агата : страсбург	72
агата : эдинбург	72
сафия : азия	72
сафия : перт	72
сафия : матлки	72
сафия : ирландия	72
маргарет : италия	70
маргарет : рейн	70
вальдман : ингольштадт	70
альберт великое : англия	66
вальдмана : англия	66
жюстина мориц : англия	66
мориц : англия	66
юры : англия	66
адам : англия	66
плутарх : англия	66
сатана : англия	66
мистер кирвин : англия	66
кирвин : монблан	66
кирвин : ливорно	66
эрнест : шотландия	65
эрнест : оксфорд	65
Де лэся : лондон	64
кремп : италия	63
кремп : рейн	63
маргарет : монблан	60
маргарет : ливорно	60
уолтон : париж	60
мэри шелли : женева	58
томас : женева	58
бофоры : женева	58
каролина бофоры : женева	58
каролина : женева	58
анри клервали : женева	58
корнелия агриппа : женева	58
агриппа : женева	58
сон : женева	58
корнелий агриппа : женева	58
кольридж : женева	58
Пер. В. левика : женева	58
элизабет лавенец женева : женева	58
юра : женева	58
вертёрший : женева	58
подавленный : женева	58
вордсворт : женева	58
клервалящий : женева	58
клервали : петербург	56
клервали : россия	56
клервали : люцерн	56
бофора : ингольштадт	56
Де лэся : италия	56
клервали : франция	56
клервали : комо	56
клервали : милан	56
клервали : греция	56
клервали : клервалящие	56
клервали : пленпал	56
клервали : константинополь	56
клервали : европа	56
клервали : роттердам	56
клервали : майнц	56
клервали : индия	56
клервали : камберленд	56
клервали : уэстморленд	56
клервали : оркнейские острова	56
клервали : эвиана	56
парацельс : ингольштадт	56
агаты : ингольштадт	56
Де лэся : рейн	56
кирвин : шотландия	55
кирвин : оксфорд	55
виктор : петербург	54
виктор : россия	54
клервалящие : америка	54
агата : америка	54
уолтон : швейцария	54
виктор : люцерн	54
клервалящие : германия	54
агата : германия	54
виктор : франция	54
виктор : комо	54
виктор : милан	54
виктор : греция	54
виктор : клервалящие	54
виктор : пленпал	54
виктор : константинополь	54
виктор : европа	54
виктор : роттердам	54
виктор : майнц	54
виктор : индия	54
виктор : камберленд	54
виктор : уэстморленд	54
виктор : оркнейские острова	54
виктор : эвиана	54
клервалящие : моны-салевы	54
клервалящие : азия	54
клервалящие : перт	54
клервалящие : матлки	54
клервалящие : ирландия	54
кремп : монблан	54
кремп : ливорно	54
агата : моны-салевы	54
агата : азия	54
агата : перт	54
агата : матлки	54
агата : ирландия	54
феликс : санкт-петербург	53
феликс : тихий океан	53
феликс : эдем	53
феликс : старый мореход	53
феликс : африка	53
феликс : северный полюс	53
феликс : рейс	53
феликс : неаполь	53
феликс : гроб господняя	53
феликс : тонон	53
феликс : юры	53
феликс : мексика	53
феликс : перу	53
феликс : уильям	53
феликс : корнелия агриппа	53
феликс : восток	53
феликс : рим	53
феликс : лозанна	53
феликс : сешерон	53
феликс : савойские альпы	53
феликс : копа	53
феликс : моль	53
феликс : Шэн	53
феликс : анды	53
феликс : арвы	53
феликс : пелиссье	53
феликс : Серво	53
феликс : монтанвер	53
феликс : ледяное море	53
феликс : лион	53
феликс : моны-сени	53
феликс : турция	53
феликс : солоно	53
феликс : Де лэся	53
феликс : южная америка	53
феликс : мангейм	53
феликс : Ури	53
феликс : ла-валя	53
феликс : пэ-де-вое	53
феликс : вершина горы	53
феликс : голландия	53
феликс : британия	53
феликс : темза	53
феликс : тильбюри	53
феликс : вулвич	53
феликс : гринвич	53
феликс : тауэр	53
феликс : клервале	53
феликс : виндзоры	53
феликс : камберлендские озеро	53
феликс : виндзора	53
феликс : пентландская возвышенность	53
феликс : кьюпары	53
феликс : сент-эндрюс	53
феликс : теи	53
феликс : новое свет	53
феликс : обогнувшие мыс	53
феликс : жюстина	53
феликс : гавр-де-грас	53
феликс : лавенец	53
феликс : монталегр	53
феликс : дранс	53
феликс : средиземное море	53
феликс : чёрное море	53
феликс : север	53
феликс : азия средиземное море	53
эрнест : архангельск	52
эрнест : бельривы	52
эрнест : шамунь	52
эрнест : альпы	52
эрнест : страсбург	52
эрнест : эдинбург	52
жюстина : санкт-петербург	50
маргарет : шотландия	50
маргарет : оксфорд	50
жюстина : тихий океан	50
жюстина : эдем	50
жюстина : старый мореход	50
жюстина : африка	50
жюстина : северный полюс	50
жюстина : рейс	50
жюстина : неаполь	50
жюстина : гроб господняя	50
жюстина : тонон	50
жюстина : юры	50
вальдман : париж	50
жюстина : мексика	50
жюстина : перу	50
жюстина : уильям	50
жюстина : корнелия агриппа	50
жюстина : восток	50
жюстина : рим	50
жюстина : лозанна	50
жюстина : сешерон	50
жюстина : савойские альпы	50
жюстина : копа	50
жюстина : моль	50
жюстина : Шэн	50
жюстина : анды	50
жюстина : арвы	50
жюстина : пелиссье	50
жюстина : Серво	50
жюстина : монтанвер	50
жюстина : ледяное море	50
жюстина : лион	50
жюстина : моны-сени	50
жюстина : турция	50
жюстина : солоно	50
жюстина : Де лэся	50
жюстина : южная америка	50
жюстина : мангейм	50
жюстина : Ури	50
жюстина : ла-валя	50
жюстина : пэ-де-вое	50
жюстина : вершина горы	50
жюстина : голландия	50
жюстина : британия	50
жюстина : темза	50
жюстина : тильбюри	50
жюстина : вулвич	50
жюстина : гринвич	50
жюстина : тауэр	50
жюстина : клервале	50
жюстина : виндзоры	50
жюстина : камберлендские озеро	50
жюстина : виндзора	50
жюстина : пентландская возвышенность	50
жюстина : кьюпары	50
жюстина : сент-эндрюс	50
жюстина : теи	50
жюстина : новое свет	50
жюстина : обогнувшие мыс	50
жюстина : жюстина	50
жюстина : гавр-де-грас	50
жюстина : лавенец	50
жюстина : монталегр	50
жюстина : дранс	50
жюстина : средиземное море	50
жюстина : чёрное море	50
жюстина : север	50
жюстина : азия средиземное море	50
франкенштейн : петербург	48
франкенштейн : россия	48
франкенштейн : люцерн	48
франкенштейн : франция	48
франкенштейн : комо	48
франкенштейн : милан	48
франкенштейн : греция	48
франкенштейн : клервалящие	48
франкенштейн : пленпал	48
франкенштейн : константинополь	48
франкенштейн : европа	48
франкенштейн : роттердам	48
франкенштейн : майнц	48
франкенштейн : индия	48
франкенштейн : камберленд	48
франкенштейн : уэстморленд	48
франкенштейн : оркнейские острова	48
франкенштейн : эвиана	48
уолтон : лондон	48
анри : петербург	48
уильям : петербург	48
сафия : петербург	48
анри : россия	48
уильям : россия	48
сафия : россия	48
анри : люцерн	48
уильям : люцерн	48
сафия : люцерн	48
анри : франция	48
уильям : франция	48
сафия : франция	48
анри : комо	48
уильям : комо	48
сафия : комо	48
анри : милан	48
уильям : милан	48
сафия : милан	48
анри : греция	48
анри : клервалящие	48
анри : пленпал	48
анри : константинополь	48
анри : европа	48
анри : роттердам	48
анри : майнц	48
анри : индия	48
анри : камберленд	48
анри : уэстморленд	48
анри : оркнейские острова	48
анри : эвиана	48
уильям : греция	48
сафия : греция	48
уильям : клервалящие	48
сафия : клервалящие	48
уильям : пленпал	48
уильям : константинополь	48
уильям : европа	48
уильям : роттердам	48
уильям : майнц	48
уильям : индия	48
уильям : камберленд	48
уильям : уэстморленд	48
уильям : оркнейские острова	48
уильям : эвиана	48
сафия : пленпал	48
Де лэся : монблан	48
сафия : константинополь	48
сафия : европа	48
сафия : роттердам	48
сафия : майнц	48
сафия : индия	48
сафия : камберленд	48
сафия : уэстморленд	48
сафия : оркнейские острова	48
сафия : эвиана	48
Де лэся : ливорно	48
кремп : шотландия	45
кремп : оксфорд	45
вальдман : швейцария	45
мэри шелли : англия	44
томас : англия	44
бофоры : англия	44
каролина бофоры : англия	44
каролина : англия	44
анри клервали : англия	44
корнелия агриппа : англия	44
агриппа : англия	44
сон : англия	44
корнелий агриппа : англия	44
кольридж : англия	44
Пер. В. левика : англия	44
